Presion,Tonelaje,Velocidad,%Solidos,Potencia,F80,Brazo,picos_intens
202.67360957513404,345.1166444811443,1631.5233026868057,74.43580908912836,774.2681321086428,128.81876918870432,75.54870015272148,0
204.91269920343746,343.32897063992056,1767.9216598509129,72.85556949265636,797.0923101066477,114.8677149674937,43.99893409209123,0
168.1119929560253,337.8229294857333,1693.1918750725556,73.5923903339829,853.0572352205196,141.958896067715,55.07369354105671,0
194.98867799455482,337.9694166061306,1805.8969599036445,73.79176325507018,798.3924361299363,122.65154517338856,51.41503353875565,0
186.9755178809259,352.2964028575263,1790.7726480593044,79.72948239889324,814.1034096877167,118.4271391832545,54.8164370429825,0
151.1540172888118,317.76025564672807,1705.8634138183456,70.50257054604192,728.419681010552,105.70386952155033,62.71305138790919,0
202.64469144358495,379.58770033651695,1768.3921531384856,66.05900655439831,833.2532775946494,103.61196024341827,49.71530507858489,0
203.75450186523872,351.7686801160073,1998.3203841117715,73.36000553441595,838.1695630303576,132.8909413573563,56.482332142675894,0
172.5011062030173,401.4636052514893,1888.088649261726,69.32485272845813,828.4554705690969,115.10529816793134,76.61574347419108,0
152.50208383260036,341.84872555501806,1493.290760549277,65.66701865134578,752.0641811973662,101.23141821607513,57.431344177797094,0
129.96600311680692,276.1465195551808,2005.1102291607633,76.12371373273984,709.6163681363158,114.98020713477592,64.0620984488532,0
189.12090069561302,397.5166730391039,2359.0978516409073,80.1531092182858,908.7268540552451,140.32876195932226,72.20521973756334,1
159.29843771918718,355.27495252484607,1964.3283617243715,82.18563948479907,792.0123700902851,137.69948609186383,51.41314831941902,0
213.13313339385155,433.61508652758755,2415.235005017583,77.947809779947,969.500006716769,143.99435566218798,81.54490911961447,1
154.48627353324156,336.97819953921874,1662.7161418270014,72.17088857862286,805.261734015013,123.13803738729962,56.906840746228575,0
193.00498011156728,361.6482080452597,1774.6606265512892,66.57382354428928,683.6289501976048,99.56906735123317,48.45464385679824,0
249.56812151793523,434.15711297523546,2161.3499986336333,77.50266278185188,914.2967350646841,131.4856310807431,62.450107754913475,1
188.96198727872408,319.3113172587744,1757.525500667024,65.84869926200712,839.2843683847028,107.98360061496842,50.60968030162313,0
143.3818834830494,349.7153257948594,1622.9108490369763,74.18836650096553,834.1415137774003,149.5934378217072,55.72740806782782,0
192.6257645167708,312.8404333147768,1745.3357372903638,76.10968600554338,772.5119124479696,147.762804514369,72.96455540271351,0
158.83437898324726,404.89369371466074,1675.6687255799593,77.65712185251365,796.2917037935388,146.67024115210933,61.22346531288353,0
175.12207779645325,386.2103760597582,1760.6843665883057,75.70321354921538,722.7634657670509,123.22289833342188,67.1461513021236,0
210.63557781202104,440.91967303917556,1690.950844138898,73.93812885757374,895.2419763964514,138.22506028622914,60.22925396468512,0
